,Product_Name,Product_Code,Product_Score
56,Serie | 6 Alttan Donduruculu Buzdolabı 186 x 86 cm Kolay temizlenebilir Inox ,KGN86AIF0N,0
57,Serie | 4 Alttan Donduruculu Buzdolabı 191 x 70 cm Paslanmaz çelik görünüm ,KGV58VLE0N,0
58,Serie | 6 Tezgah Altı Ankastre Soğutucu 82 x 60 cm ,KUR15AFF0,0
59,Serie | 6 Sandık Tipi Derin Dondurucu 91.6 x 140.5 cm ,GCM34AW22N,0
60,Serie | 4 Solo Derin Dondurucu 161 x 60 cm Beyaz ,GSN29VW31N,5
61,Serie | 4 Solo Derin Dondurucu 161 x 60 cm Beyaz ,GSN29VWE0N,0
62,Serie | 4 Solo Derin Dondurucu 176 x 60 cm Beyaz ,GSN33VW31N,1
63,Serie | 4 Solo Derin Dondurucu 186 x 60 cm Kolay temizlenebilir Inox ,GSN36VI30N,0
64,Serie | 4 Solo Derin Dondurucu 186 x 60 cm Kolay temizlenebilir Inox ,GSN36VIF0N,0
65,Serie | 4 Solo Derin Dondurucu 186 x 60 cm Beyaz ,GSN36VW30N,0
66,Serie | 4 Solo Derin Dondurucu 161 x 70 cm Beyaz ,GSN51VW30N,0
67,Serie | 4 Solo Derin Dondurucu 146 x 60 cm Beyaz ,GSV24VW20N,0
68,Serie | 4 Solo Derin Dondurucu 146 x 60 cm Beyaz ,GSV24VW31N,0
69,Serie | 4 Solo Derin Dondurucu 161 x 60 cm Beyaz ,GSV29VW31N,3
70,Serie | 6 Gardırop Tipi Buzdolabı 178.7 x 90.8 cm Kolay temizlenebilir Inox ,KAG93AI30N,0
71,Serie | 4 Gardırop Tipi Buzdolabı 178.7 x 90.8 cm Paslanmaz çelik görünüm ,KAN93VL30N,5
72,Serie | 2 Üstten Donduruculu Buzdolabı 178 x 70 cm Beyaz ,KDN43NWF0N,0
73,Serie | 4 Üstten Donduruculu Buzdolabı 171 x 70 cm Paslanmaz çelik görünüm ,KDN53NL23N,1
74,Serie | 4 Üstten Donduruculu Buzdolabı 191 x 70 cm Beyaz ,KDV58VW30N,0
75,Serie | 4 Alttan Donduruculu Buzdolabı 186 x 70 cm Beyaz ,KGN46UW30N,0
76,Serie | 6 Alttan Donduruculu Buzdolabı 193 x 70 cm Siyah ,KGN56ABF0N,0
77,Serie | 8 Alttan Donduruculu Buzdolabı 193 x 70 cm Siyah ,KGN56HB40N,0
78,Serie | 6 Alttan Donduruculu Buzdolabı 193 x 70 cm ,KGN56IJ3AN,0
79,Serie | 6 Alttan Donduruculu Buzdolabı 193 x 70 cm Kolay temizlenebilir Inox ,KGN56IJFAN,0
80,Serie | 6 Alttan Donduruculu Buzdolabı 186 x 86 cm Kolay temizlenebilir Inox ,KGN86HI30N,5
81,Serie | 6 Alttan Donduruculu Buzdolabı 187 x 86 cm Kolay temizlenebilir Inox ,KGN86HIF0N,0
82,Serie | 4 Alttan Donduruculu Buzdolabı 191 x 70 cm Paslanmaz çelik görünüm ,KGV58VL30N,1
